股票代號,股票名稱,年度,除息日,每單位配發金額(元),收益分配基準日,發放月份_x,分類標籤,發放月份_y,收盤價
50,元大台灣50,2024,2025/1/17,2.7,2025/1/25,1,半年配,"1, 7",192.5
50,元大台灣50,2024,2024/7/16,1,2024/7/22,7,半年配,"1, 7",192.5
51,元大中型100,2024,2024/11/18,2.46,2024/11/24,11,一年配,11,79.35
52,富邦科技,2024,2024/4/18,6.43,2024/4/24,4,一年配,4,191.8
53,元大電子,2024,2024/11/18,2,2024/11/24,11,一年配,11,102.8
55,元大MSCI金融,2024,2024/11/18,1.18,2024/11/24,11,一年配,11,29.04
56,元大高股息,2024,2025/1/17,1.07,2025/1/25,1,季配息,"1, 4, 7, 10",36.71
56,元大高股息,2024,2024/10/17,1.07,2024/10/23,10,季配息,"1, 4, 7, 10",36.71
56,元大高股息,2024,2024/7/16,1.07,2024/7/22,7,季配息,"1, 4, 7, 10",36.71
56,元大高股息,2024,2024/4/18,0.79,2024/4/24,4,季配息,"1, 4, 7, 10",36.71
6201,元大富櫃50,2024,2024/11/18,0.75,2024/11/24,11,一年配,11,22.31
6203,元大MSCI台灣,2024,2025/1/17,1.9,2025/1/25,1,半年配,"1, 7",64.5
6203,元大MSCI台灣,2024,2024/7/16,0.9,2024/7/22,7,半年配,"1, 7",89.75
6204,永豐臺灣加權,2024,2024/10/24,0.7,2024/10/30,10,一年配,10,79.5
6208,富邦台50,2024,2024/11/18,0.9,2024/11/24,11,半年配,"7, 11",89.75
6208,富邦台50,2024,2024/7/16,0.783,2024/7/22,7,半年配,"7, 11",79.5
00676R,富邦臺灣加權反1,2024,2025/1/17,2.7,2025/1/25,1,一年配,1,116
00679B,元大美債20年,2024,2024/11/18,0.34,2024/11/24,11,季配息,"2, 5, 8, 11",67.7
00679B,元大美債20年,2024,2024/8/16,0.345,2024/8/24,8,季配息,"2, 5, 8, 11",113.15
00679B,元大美債20年,2024,2024/5/17,0.335,2024/5/25,5,季配息,"2, 5, 8, 11",50.2
00679B,元大美債20年,2024,2024/2/27,0.31,2024/3/5,2,季配息,"2, 5, 8, 11",113.15
00687B,國泰20年美債,2024,2024/12/17,0.38,2024/12/23,12,季配息,"3, 6, 9, 12",50.2
00687B,國泰20年美債,2024,2024/9/18,0.42,2024/9/24,9,季配息,"3, 6, 9, 12",12.32
00687B,國泰20年美債,2024,2024/6/20,0.34,2024/6/26,6,季配息,"3, 6, 9, 12",29.51
00687B,國泰20年美債,2024,2024/3/18,0.34,2024/3/24,3,季配息,"3, 6, 9, 12",29.51
690,兆豐藍籌30,2024,2024/11/19,0.8,2024/11/25,11,不定期,"3, 5, 8, 11",29.51
690,兆豐藍籌30,2024,2024/8/16,1,2024/8/24,8,不定期,"3, 5, 8, 11",29.51
690,兆豐藍籌30,2024,2024/5/16,0.9,2024/5/24,5,不定期,"3, 5, 8, 11",31.01
690,兆豐藍籌30,2024,2024/3/4,0.75,2024/3/10,3,不定期,"3, 5, 8, 11",31.01
692,富邦公司治理,2024,2024/11/18,0.6,2024/11/24,11,半年配,"7, 11",31.01
692,富邦公司治理,2024,2024/7/16,0.415,2024/7/22,7,半年配,"7, 11",31.01
00694B,富邦美債1-3年,2024,2025/1/17,0.293,2025/1/25,1,季配息,"1, 4, 7, 10",35.2
00694B,富邦美債1-3年,2024,2024/10/17,0.268,2024/10/23,10,季配息,"1, 4, 7, 10",35.2
00694B,富邦美債1-3年,2024,2024/7/16,0.288,2024/7/22,7,季配息,"1, 4, 7, 10",35.2
00694B,富邦美債1-3年,2024,2024/4/18,0.243,2024/4/24,4,季配息,"1, 4, 7, 10",35.2
00695B,富邦美債7-10年,2024,2025/1/17,0.299,2025/1/25,1,季配息,"1, 4, 7, 10",44.69
00695B,富邦美債7-10年,2024,2024/10/17,0.238,2024/10/23,10,季配息,"1, 4, 7, 10",44.69
00695B,富邦美債7-10年,2024,2024/7/16,0.251,2024/7/22,7,季配息,"1, 4, 7, 10",42.72
00695B,富邦美債7-10年,2024,2024/4/18,0.205,2024/4/24,4,季配息,"1, 4, 7, 10",42.72
00696B,富邦美債20年,2024,2025/1/17,0.267,2025/1/25,1,季配息,"1, 4, 7, 10",42.72
00696B,富邦美債20年,2024,2024/10/17,0.274,2024/10/23,10,季配息,"1, 4, 7, 10",42.72
00696B,富邦美債20年,2024,2024/7/16,0.313,2024/7/22,7,季配息,"1, 4, 7, 10",36.34
00696B,富邦美債20年,2024,2024/4/18,0.22,2024/4/24,4,季配息,"1, 4, 7, 10",36.34
00697B,元大美債7-10,2024,2024/12/17,0.3,2024/12/23,12,季配息,"3, 6, 9, 12",36.34
00697B,元大美債7-10,2024,2024/9/18,0.22,2024/9/24,9,季配息,"3, 6, 9, 12",36.34
00697B,元大美債7-10,2024,2024/6/20,0.28,2024/6/26,6,季配息,"3, 6, 9, 12",32.03
00697B,元大美債7-10,2024,2024/3/18,0.28,2024/3/24,3,季配息,"3, 6, 9, 12",32.03
701,國泰股利精選30,2024,2025/1/17,2.05,2025/1/25,1,半年配,"1, 8",32.03
701,國泰股利精選30,2024,2024/8/16,0.3,2024/8/24,8,半年配,"1, 8",32.03
702,國泰標普低波高息,2024,2025/1/17,0.7,2025/1/25,1,半年配,"1, 7",36.96
702,國泰標普低波高息,2024,2024/7/16,0.66,2024/7/22,7,半年配,"1, 7",36.96
00710B,復華彭博非投等債,2024,2024/12/18,0.26,2024/12/24,12,季配息,"3, 6, 9, 12",36.96
00710B,復華彭博非投等債,2024,2024/9/19,0.24,2024/9/25,9,季配息,"3, 6, 9, 12",36.96
00710B,復華彭博非投等債,2024,2024/6/20,0.26,2024/6/26,6,季配息,"3, 6, 9, 12",28.07
00710B,復華彭博非投等債,2024,2024/3/19,0.23,2024/3/25,3,季配息,"3, 6, 9, 12",28.07
00711B,復華彭博新興債,2024,2024/12/18,0.19,2024/12/24,12,季配息,"3, 6, 9, 12",25.47
00711B,復華彭博新興債,2024,2024/9/19,0.2,2024/9/25,9,季配息,"3, 6, 9, 12",25.47
00711B,復華彭博新興債,2024,2024/6/20,0.19,2024/6/26,6,季配息,"3, 6, 9, 12",20.26
00711B,復華彭博新興債,2024,2024/3/19,0.2,2024/3/25,3,季配息,"3, 6, 9, 12",20.26
712,復華富時不動產,2024,2024/12/18,0.185,2024/12/24,12,季配息,"3, 6, 9, 12",20.26
712,復華富時不動產,2024,2024/9/19,0.2,2024/9/25,9,季配息,"3, 6, 9, 12",20.26
712,復華富時不動產,2024,2024/6/20,0.22,2024/6/26,6,季配息,"3, 6, 9, 12",16.68
